locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),locatie,advies: controlemiddel,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Antoine Derksen,2016-06-23 13:41:40,NEE,,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Miva toilet BG afd.PG aanwezige tappunten in toiletgroep,Miva toilet BG afd.PG aanwezige tappunten in toiletgroep,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Antoine Derksen,2016-06-23 13:41:40,NEE,,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,116,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,239,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,2.06,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,2.07,2.08
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,2.13,
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,314,
