locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),locatie,advies: controlemiddel,hoofdfunctie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2016-09-01,Maandelijks,< 25°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,,
Nieuwehagen (HW),2016-09-01,Maandelijks,> 60°C,Temperatuurmeting,Kleedruimte heren kelder douchemengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,,
Nieuwehagen (HW),2016-09-01,Maandelijks,< 25°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,,
Nieuwehagen (HW),2016-09-01,Maandelijks,> 60°C,Temperatuurmeting,Spoelruimte Begane grond PG afdeling keukenmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,,
Nieuwehagen (HW),2016-09-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,116,
Nieuwehagen (HW),2016-09-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 116 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,116,
Nieuwehagen (HW),2016-09-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,2.06,
Nieuwehagen (HW),2016-09-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.06 wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,2.06,
Nieuwehagen (HW),2016-09-01,Maandelijks,< 25°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het koude water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,KW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,2.13,
Nieuwehagen (HW),2016-09-01,Maandelijks,> 60°C,Temperatuurmeting,Ruimte 2.13 (flexplek) wastafelmengkraan,Controleer periodiek de temperatuur van het warme water op genoemd tappunt. Hiermee toont u aan dat de temperatuur buiten het risicogebied van Legionellagroei blijft.,WW,JA,,Servicedienst Nieuwehagen,2016-09-20 08:42:24,JA,2.13,
