locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),verdieping,ruimte,advies: controlemiddel,nr.,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,"14,9     63,2",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,"15,3       60,2",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,0.31,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,"14,9",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,"15,4      65,5",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,0.49,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,"15,3    63,0",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,0.60,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,"15,4    65,3",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,1.60,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.47 Huiskamer,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",230,Koud water/warm water,JA,"15,1    64,0",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,1.47,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Eerste etage,1.21 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",241,Koud water/warm water,JA,"15,3     65,0",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,1.21,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Tweede etage,2.06 Logopodie/Psyo ruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",293,Koud water/warm water,JA,"15,5    65,0",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,2.06,
Nieuwehagen (HW),2018-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,"14,9    65,2",Servicedienst Nieuwehagen,2018-04-25 13:40:12,JA,2.36,
