no_,description,customer no_,name,address,city,post code,county,bill-to customer no_,bill-to name,bill-to post code,bill-to city,order date,order time,starting date,expected hours,modified on,modified by,assigned to,service contract no_,service package,service location no_,collect invoices by old,status,base service order no_,base service order,created on,created by,employee no_,final planning dsp,order type dsp,service cluster,posted hours (gantt chart),finished hours (gantt chart),house no_,house no_ ext_,recording work order no_,tenant no_,limit budget exceedance,process structure code,causer source type,causer source no_,sms reminder sent,plant meter,allow invoice separately
SOHS62216,Hol 4 monsters koper-zilverionisatie,KLHS01513,Complex 40.014 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-01-26 00:00:00.000,1754-01-01 13:42:43.527,2016-01-27 00:00:00.000,0.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS62216,1,2016-01-26 00:00:00.000,OOMEL1,RE000018,0,,,0,0,2,,,,0,,0,,0,,0
SOHS62221,Hol 4 monsters koper-zilverionisatie,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-01-26 00:00:00.000,1754-01-01 13:24:09.967,2016-02-25 00:00:00.000,0.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS62221,1,2016-01-26 00:00:00.000,OOMEL1,RE000018,0,,,0,0,2,,,,0,,0,,0,,0
SOHS64399,Jaarl cbt BA,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-02-25 00:00:00.000,1754-01-01 09:24:35.263,2016-02-29 00:00:00.000,0.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS64399,1,2016-02-25 00:00:00.000,OOMEL1,RE000033,0,,,0,0,2,,,,0,,0,,0,,0
SOHS64401,Jaarl mp IIIC,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-02-25 00:00:00.000,1754-01-01 09:15:11.477,2016-03-02 00:00:00.000,0.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS64401,1,2016-02-25 00:00:00.000,OOMEL1,RE000018,0,,,0,0,2,,,,0,,0,,0,,0
SOHS64402,Begeleiden controle Brabant Water,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-02-25 00:00:00.000,1754-01-01 09:13:22.260,2016-03-02 00:00:00.000,0.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS64402,1,2016-02-25 00:00:00.000,OOMEL1,RE000018,0,,,0,0,2,,,,0,,0,,0,,0
SOHS65216,Halfj koper/zilver,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-03-02 00:00:00.000,1754-01-01 06:10:01.193,2016-07-01 00:00:00.000,0.52,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS65216,1,2016-03-02 00:00:00.000,OOMEL1,RE000018,0,,15.0,0,0,2,,,,0,,0,,0,,0
SOHS65217,Halfj mon,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-03-02 00:00:00.000,1754-01-01 06:09:56.473,2016-04-01 00:00:00.000,0.78,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS65217,1,2016-03-02 00:00:00.000,OOMEL1,RE000018,0,,1.0,0,0,2,,,,0,,0,,0,,0
SOHS65218,Halfj mon,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-03-02 00:00:00.000,1754-01-01 06:09:55.573,2016-10-01 00:00:00.000,0.78,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS65218,1,2016-03-02 00:00:00.000,OOMEL1,RE000018,0,,1.0,0,0,2,,,,0,,0,,0,,0
SOHS65219,Jaarl ctb,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-03-02 00:00:00.000,1754-01-01 06:09:54.643,2016-03-02 00:00:00.000,3.75,2018-10-08 00:00:00.000,NTD1\KANTK1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,4,SOHS65219,1,2016-03-02 00:00:00.000,OOMEL1,RE019564,0,,3.0,0,0,2,,,,0,,0,,0,,0
SOHS65220,Jaarl ctb ba,KLHS01513,01.03.005.01 Nieuwehagen (HW),Gervenstraat  2,S HERTOGENBOSCH,5211 PD,,KLHS01513,BrabantWonen,5340 AD,OSS,2016-03-02 00:00:00.000,1754-01-01 06:09:54.290,2016-03-02 00:00:00.000,0.13,2018-10-08 00:00:00.000,NTD1\KANTK1,RE000012,SCHS02088,A6MF1J,SLHS09696,6,6,SOHS65220,1,2016-03-02 00:00:00.000,OOMEL1,RE019564,0,,8.0,0,0,2,,,,0,,0,,0,,0
