id,serviceorder,locatienaam,monsternummer,nummeranalyserapport,rapportdatum,monsternemer,ruimte,tappunt,product,soort,tempvoor,tempna,analyzepakket,datum,tijd,rapportversie,parameter,component,resultaat,eh,startdatumanalyse,starttijdanalyse,omschrijving order,appt nr. 1,appt nr. 2,appt nr. 3,appt nr. 4
80942,SOHS99617,Noorderkroon (HW),1,5312671,2018-06-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,13.6,13.6,HDSC_3D_KZ,2018-05-31,13:15,1,ANA0000572,Koloniegetal 22 °C,670,kve̸ml,2018-06-01,08:37,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80943,SOHS99617,Noorderkroon (HW),1,5312671,2018-06-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,13.6,13.6,HDSC_3D_KZ,2018-05-31,13:15,1,ANA0001128,Koper (ICP-MS),250,µg̸l Cu,2018-06-02,04:33,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80944,SOHS99617,Noorderkroon (HW),1,5312671,2018-06-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,13.6,13.6,HDSC_3D_KZ,2018-05-31,13:15,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-06-01,09:44,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80945,SOHS99617,Noorderkroon (HW),1,5312671,2018-06-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,13.6,13.6,HDSC_3D_KZ,2018-05-31,13:15,1,ANA0001129,Zilver (ICP-MS),19,µg̸l Ag,2018-06-02,04:33,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80946,SOHS99617,Noorderkroon (HW),2,5312672,2018-06-08,Giel van de Leest,Appartement 305,Douche,Drinkwater,Koud water,23.7,20.1,HDSC_3D_KZ,2018-05-31,12:45,1,ANA0000572,Koloniegetal 22 °C,170,kve̸ml,2018-06-01,09:47,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
80947,SOHS99617,Noorderkroon (HW),2,5312672,2018-06-08,Giel van de Leest,Appartement 305,Douche,Drinkwater,Koud water,23.7,20.1,HDSC_3D_KZ,2018-05-31,12:45,1,ANA0001128,Koper (ICP-MS),1100,µg̸l Cu,2018-06-02,04:25,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
80948,SOHS99617,Noorderkroon (HW),2,5312672,2018-06-08,Giel van de Leest,Appartement 305,Douche,Drinkwater,Koud water,23.7,20.1,HDSC_3D_KZ,2018-05-31,12:45,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-06-01,09:48,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
80949,SOHS99617,Noorderkroon (HW),2,5312672,2018-06-08,Giel van de Leest,Appartement 305,Douche,Drinkwater,Koud water,23.7,20.1,HDSC_3D_KZ,2018-05-31,12:45,1,ANA0001129,Zilver (ICP-MS),11,µg̸l Ag,2018-06-02,04:25,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
80990,SOHS99614,Nieuwehagen (HW),1,5312710,2018-06-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,21.8,18.9,HDSC_3D_KZ,2018-05-31,13:40,1,ANA0000572,Koloniegetal 22 °C,36,kve̸ml,2018-06-01,09:47,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80991,SOHS99614,Nieuwehagen (HW),1,5312710,2018-06-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,21.8,18.9,HDSC_3D_KZ,2018-05-31,13:40,1,ANA0001128,Koper (ICP-MS),290,µg̸l Cu,2018-06-02,04:16,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
