Gebouwruimte,Ligging,Type,Nader
0.01,,,
0.02,,,
0.03,,,
0.04,,,
0.05,,,
0.06,,,
0.07,,,
0.08,,,
0.09,,,
0.1,,,
0.11,,,
0.12,,,
0.13,,,
0.14,Zuid,Verpleegkamer,
0.15,Zuid,Verpleegkamer,
0.16,Zuid,Verpleegkamer,
0.17,Zuid,Verpleegkamer,
0.18,Zuid,Verpleegkamer,
0.19,Zuid,Verpleegkamer,
0.2,West,Verpleegkamer,
0.21,West,Verpleegkamer,
0.22,West,Verpleegkamer,
0.23,West,Verpleegkamer,
0.24,West,Verpleegkamer,
0.25,Noord,Verpleegkamer,
0.26,Noord,Verpleegkamer,
0.27,Noord,Verpleegkamer,
0.28,Noord,Verpleegkamer,
0.29,Noord,Verpleegkamer,
0.3,Noord,Verpleegkamer,
0.31,Noord,Verpleegkamer,
0.32,Noord,Verpleegkamer,
0.33,Noord,Verpleegkamer,
0.34,Noord,Verpleegkamer,
0.35,,,
0.36,Noord,Verpleegkamer,
0.37,Noord,Verpleegkamer,
0.38,Noord,Verpleegkamer,
0.39,Noord,Verpleegkamer,
0.4,Noord,Verpleegkamer,
0.41,Oost,Verpleegkamer,
0.42,Oost,Verpleegkamer,
0.43,Zuid,Verpleegkamer,
0.44,,,
0.45,,,
0.46,,,
0.47,,,
0.48,,,
0.49,,,
0.5,,,
0.51,,,
0.52,,,
0.53,,,
0.54,,,
0.55,,,
0.56,,,
0.57,,,
0.58,,,
0.59,,,
0.6,,,
0.61,,,
0.62,,,
0.63,,,
0.64,,,
0.65,Oost,Verpleegkamer,
0.66,Oost,Verpleegkamer,
0.67,Oost,Verpleegkamer,
0.68,Zuid,Verpleegkamer,
0.69,Zuid,Verpleegkamer,
0.7,Zuid,Verpleegkamer,
0.71,,,
0.72,,,
0.73,,,
0.74,,,
0.75,,,
1.01,,,
1.02,,,
1.03,West,Woonkamer,
1.04,West,Woonkamer,
1.05,,,
1.06,,,
1.07,,,
1.08,,,
1.09,Zuid,Woonkamer,
1.1,Zuid,Woonkamer,
1.11,Oost,Woonkamer,
1.12,Oost,Woonkamer,
1.13,,,
1.14,,,
1.15,,,
1.16,,,
1.17,Zuid,Woonkamer,
1.18,,,
1.19,,,
1.2,,,
1.21,,,
1.22,,,
1.23,,,
1.24,,,
1.25,,,
1.26,,,
1.27,,,
1.28,,,
1.29,,,
1.3,,,
1.31,,,
1.32,,,
1.33,,,
1.34,Noord,Zorgappartement,
1.35,Noord,Zorgappartement,
1.36,Noord,Zorgappartement,
1.37,Noord,Zorgappartement,
1.38,Noord,Zorgappartement,
1.39,Noord,Zorgappartement,
1.4,Noord,Zorgappartement,
1.41,Oost,Zorgappartement,
1.42,Oost,Eten/wonen,
1.43,,,
1.44,,,
1.45,Noord,Zorgappartement,
1.46,Noord,Zorgappartement,
1.47,Noord,Zorgappartement,
1.48,Noord,Zorgappartement,
1.49,Noord,Zorgappartement,
1.5,Noord,Zorgappartement,
1.51,West,Zorgappartement,
1.52,West,Zorgappartement,
1.53,West,Zorgappartement,
1.54,West,Zorgappartement,
1.55,West,Zorgappartement,
