Gebouwruimte,Ligging,Type,Nader
A.0.1,Noord,Gang,
A.0.2,Noord,Berging,
A.0.3,Noord,Lift,
A.0.4,Noord,Trap,
A.0.5,Noord,Rolstoelnis,
A.0.6,Noord,Verpleegkamer,
A.0.7,Oost,Verpleegkamer,
A.0.8,Oost,Verpleegkamer,
A.0.9,Oost,Verpleegkamer,
A.0.10,Oost,Verpleegkamer,
A.0.11,Oost,Verpleegkamer,
A.0.12,Oost,Verpleegkamer,
A.0.13,Oost,Verpleegkamer,
A.0.14,Oost,Verpleegkamer,
A.0.15,Oost,Verpleegkamer,
A.0.16,Oost,Verpleegkamer,
A.0.17,Zuid,Verpleegkamer,
A.0.18,Zuid,Verpleegkamer,
A.0.19,Zuid,Verpleegkamer,
A.0.20,Zuid,Verpleegkamer,
A.0.21,Zuid,Verpleegkamer,
A.0.22,Zuid,Verpleegkamer,
A.0.23,West,Verpleegkamer,
A.0.24,West,Verpleegkamer,
A.0.25,West,Verpleegkamer,
A.0.26,West,Verpleegkamer,
A.0.27,West,Verpleegkamer,
A.0.28,West,Verpleegkamer,
A.0.29,West,Verpleegkamer,
A.0.30,West,Verpleegkamer,
A.0.31,West,Verpleegkamer,
A.0.32,West,Verpleegkamer,
A.0.33,Noord,Verpleegkamer,
A.0.34,Noord,Verpleegkamer,
A.0.35,Noord,Verpleegkamer,
A.0.36,,Huiskamer,
A.0.37,,Huiskamer,
A.0.38,,Keuken,
A.0.39,,Keuken,
A.0.40,,,
A.0.41,,,
A.0.42,,,
A.0.43,,Gang,
A.0.44,,Teamleider,
A.0.45,,Wasruimte,
A.0.46,,,
A.0.47,,Gang,
A.0.48,,Lift,
A.0.49,,,
A.0.50,,Huiskamer,
A.0.51,,Huiskamer,
A.0.52,,Huiskamer,
A.0.53,,,
A.0.54,,,
A.0.55,,,
A.0.56,,Toilet,
A.0.57,,Toilet,
A.0.58,,,
A.0.59,,,
A.0.60,,,
A.0.61,,,
A.0.62,,Medicijnruimte,
A.0.63,,Teampost,
A.0.64,,Toilet,
A.0.65,,Pleintje,
A.0.66,,Patio,
A.0.67,,,
A.0.68,,,
A.1.1,Noord,Gang,
A.1.2,Noord,Berging,
A.1.3,Noord,Lift,
A.1.4,Noord,Trap,
A.1.5,Noord,Rolstoelnis,
A.1.6,Noord,Verpleegkamer,
A.1.7,Oost,Verpleegkamer,
A.1.8,Oost,Verpleegkamer,
A.1.9,Oost,Verpleegkamer,
A.1.10,Oost,Verpleegkamer,
A.1.11,Oost,Verpleegkamer,
A.1.12,Oost,Verpleegkamer,
A.1.13,Oost,Verpleegkamer,
A.1.14,Oost,Verpleegkamer,
A.1.15,Oost,Verpleegkamer,
A.1.16,Oost,Verpleegkamer,
A.1.17,Zuid,Verpleegkamer,
A.1.18,Zuid,Verpleegkamer,113.0
A.1.19,Zuid,Verpleegkamer,114.0
A.1.20,Zuid,Verpleegkamer,115.0
A.1.21,Zuid,Verpleegkamer,116.0
A.1.22,Zuid,Verpleegkamer,117.0
A.1.23,West,Verpleegkamer,118.0
A.1.24,West,Verpleegkamer,119.0
A.1.25,West,Verpleegkamer,120.0
A.1.26,West,Verpleegkamer,121.0
A.1.27,West,Verpleegkamer,122.0
A.1.28,West,Verpleegkamer,123.0
A.1.29,West,Verpleegkamer,
A.1.30,West,Verpleegkamer,
A.1.31,West,Verpleegkamer,
A.1.32,West,Verpleegkamer,
A.1.33,Noord,Verpleegkamer,
A.1.34,Noord,Verpleegkamer,
A.1.35,Noord,Verpleegkamer,
A.1.36,,,
A.1.37,,,
A.1.38,,,
A.1.39,,,
A.1.40,,,
A.1.41,,,
A.1.42,,,
A.1.43,,,
A.1.44,,,
A.1.45,,Wasruimte,
A.1.46,,,
A.1.47,,,
A.1.48,,,
A.1.49,,,
A.1.50,,,
A.1.51,,,
A.1.52,,,
A.1.53,,,
A.1.54,,,
A.1.55,,,
A.1.56,,,
A.1.57,,,
A.1.58,,,
A.1.59,,,
A.1.60,,,
A.1.61,,,
A.1.62,,,
A.1.63,,,
A.1.64,,,
A.1.65,,,
A.1.66,,,
A.1.67,,Gang,
A.2.1,Noord,Gang,
A.2.2,Noord,Berging,
A.2.3,Noord,Lift,
A.2.4,Noord,Trap,
A.2.5,,,
A.2.6,Oost,Zorgapp.,
A.2.7,Oost,Zorgapp.,
A.2.8,Oost,Zorgapp.,
